Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1121.00,11042.00,0.00,1000.00,242
1148.50,11039.00,0.00,1000.00,297
1135.50,11106.00,0.00,1000.00,271
1139.00,10948.00,0.00,1000.00,278
1133.00,11038.00,0.00,1000.00,266
1133.50,11152.00,0.00,1000.00,267
1130.50,11000.00,0.00,1000.00,261
1142.00,11105.00,0.00,1000.00,284
1127.00,11208.00,0.00,1000.00,254
1139.50,11056.00,0.00,1000.00,279
1136.50,11151.00,0.00,1000.00,273
1133.00,11151.00,0.00,1000.00,266
1130.00,11104.00,0.00,1000.00,260
1140.00,11042.00,0.00,1000.00,280
1142.00,11150.00,0.00,1000.00,284
1141.00,11000.00,0.00,1000.00,282
1127.50,10942.00,0.00,1000.00,255
1129.00,11105.00,0.00,1000.00,258
1143.00,10943.00,0.00,1000.00,286
1152.00,11054.00,0.00,1000.00,304
1146.00,11150.00,0.00,1000.00,292
1143.00,11150.00,0.00,1000.00,286
1140.50,11200.00,0.00,1000.00,281
1140.00,11299.00,0.00,1000.00,280
1148.50,11145.00,0.00,1000.00,297
1153.50,10936.00,0.00,1000.00,307
1159.50,11200.00,0.00,1000.00,319
1158.50,11300.00,0.00,1000.00,317
1147.00,11118.00,0.00,1000.00,294
1170.00,11113.00,0.00,1000.00,340
1175.50,11120.00,0.00,1000.00,351
1194.00,10971.00,0.00,1000.00,388
1208.50,10960.00,0.00,1000.00,417
1196.50,10953.00,0.00,1000.00,393
1188.00,10835.00,0.00,1000.00,376
1000.00,11274.00,0.00,1000.00,0
1224.00,11118.00,0.00,1000.00,448
1235.00,11079.00,0.00,1000.00,470
1245.00,10985.00,0.00,1000.00,490
1253.00,10941.00,0.00,1000.00,506
1000.00,10931.00,0.00,1000.00,0
1000.00,11069.00,0.00,1000.00,0
1000.00,11134.00,0.00,1000.00,0
1000.00,11154.00,0.00,1000.00,0
1301.00,11184.00,0.00,1000.00,602
1311.50,11130.00,0.00,1000.00,623
1317.00,11041.00,0.00,1000.00,634
1345.00,10868.00,0.00,1000.00,690
1338.50,10904.00,0.00,1000.00,677
1333.50,10913.00,0.00,1000.00,667
1332.00,11087.00,0.00,1000.00,664
1345.50,11088.00,0.00,1000.00,691
1336.50,11000.00,0.00,1000.00,673
1344.50,11000.00,0.00,1000.00,689
1000.00,10912.00,0.00,1000.00,0
1000.00,10961.00,0.00,1000.00,0
1000.00,11058.00,0.00,1000.00,0
1000.00,11093.00,0.00,1000.00,0
1000.00,11049.00,0.00,1000.00,0
1329.00,11053.00,0.00,1000.00,658
1326.00,11094.00,0.00,1000.00,652
1323.50,11000.00,0.00,1000.00,647
1325.50,11094.00,0.00,1000.00,651
1339.00,11016.00,0.00,1000.00,678
1331.00,10922.00,0.00,1000.00,662
1330.00,10922.00,0.00,1000.00,660
1330.50,11095.00,0.00,1000.00,661
1340.00,11095.00,0.00,1000.00,680
1334.50,11094.00,0.00,1000.00,669
1339.00,11095.00,0.00,1000.00,678
1000.00,11000.00,0.00,1000.00,0
1351.50,11096.00,0.00,1000.00,703
1000.00,10916.00,0.00,1000.00,0
1000.00,11094.00,0.00,1000.00,0
1000.00,11052.00,0.00,1000.00,0
1354.00,11096.00,0.00,1000.00,708
1352.50,11096.00,0.00,1000.00,705
1365.00,11000.00,0.00,1000.00,730
1334.50,10819.00,0.00,1000.00,669
1333.00,10825.00,0.00,1000.00,666
1325.50,10925.00,0.00,1000.00,651
1000.00,11009.00,0.00,1000.00,0
